date,lat_c,lon_c,actual,diff
2017-09-13,54.869071089,37.2119016465,1.44,0.312
2017-09-13,54.8735631392,37.2118696117,1.96,1.882
2017-09-13,54.8780364571,37.2040469746,1.79,5.899
2017-09-13,54.878055186,37.211837568,2.0,4.774
2017-09-13,54.8825092657,37.1962226047,1.23,6.552
2017-09-13,54.8825284973,37.2040140555,1.14,6.411
2017-09-13,54.8963451254,37.4299457342,1.29,0.862
2017-09-13,54.9052685804,37.3597666564,1.13,0.045
2017-09-13,54.9052773261,37.3675625842,1.38,1.414
2017-09-13,54.9097693941,37.3675478371,1.73,2.438
2017-09-13,54.9142527102,37.359735423,1.85,7.13
2017-09-13,54.9142614588,37.3675330869,2.31,6.223
2017-09-13,54.9142697071,37.375330756,1.25,3.341
2017-09-13,54.9142774552,37.3831284289,1.67,0.917
2017-09-13,54.9142847031,37.3909261054,2.61,0.23
2017-09-13,54.9142914506,37.3987237843,1.61,0.22
2017-09-13,54.9143086917,37.4221168405,1.76,-0.417
2017-09-13,54.9143134381,37.429914531,1.39,-0.283
2017-09-13,54.9143176844,37.4377122246,2.57,0.589
2017-09-13,54.9143214304,37.4455099202,1.35,0.538
2017-09-13,54.9187355202,37.351921272,1.44,6.93
2017-09-13,54.9187447706,37.3597198001,2.27,7.206
2017-09-13,54.9187535201,37.3675183327,2.23,6.514
2017-09-13,54.9187617698,37.3753168702,1.52,4.218
2017-09-13,54.9187695191,37.3831154117,4.28,1.9
2017-09-13,54.9187767682,37.3909139567,5.24,1.735
2017-09-13,54.9187835169,37.3987125041,1.51,0.149
2017-09-13,54.9188007608,37.4221081653,5.27,0.494
2017-09-13,54.9188055081,37.4299067247,9.28,1.552
2017-09-13,54.918809755,37.4377052869,3.14,-0.604
2017-09-13,54.9188135016,37.4455038509,1.18,0.032
2017-09-13,54.9232178227,37.3441053828,1.0,6.707
2017-09-13,54.9232275752,37.3519047762,2.28,7.176
2017-09-13,54.9232368271,37.359704173,2.17,7.459
2017-09-13,54.9232455786,37.3675035743,1.08,1.93
2017-09-13,54.9232615798,37.3831023907,1.29,0.72
2017-09-13,54.9232688299,37.3909018045,1.27,0.701
2017-09-13,54.9232755798,37.3987012207,1.09,0.6
2017-09-13,54.9232818291,37.40650064,2.03,2.454
2017-09-13,54.9232975747,37.4298989164,5.13,1.903
2017-09-13,54.9233018223,37.4376983473,7.73,0.977
2017-09-13,54.9233055694,37.4454977801,5.68,0.716
2017-09-13,54.9233088162,37.4532972141,2.5,3.377
2017-09-13,54.9277196276,37.3518882756,1.09,7.207
2017-09-13,54.9277288802,37.3596885406,1.11,3.952
2017-09-13,54.9277676394,37.3986899341,2.26,1.276
2017-09-13,54.9277738898,37.4064902225,3.2,1.442
2017-09-13,54.9277896379,37.4298911058,1.63,0.901
2017-09-13,54.927797634,37.4454917075,1.72,0.264
2017-09-13,54.9278008813,37.4532920106,1.4,1.468
2017-09-13,54.9322859468,37.4376844622,1.69,0.699
2017-09-13,54.9322896952,37.4454856333,1.29,0.353
2017-09-13,54.9322979369,37.4688891513,3.77,0.977
2017-09-13,54.9367737543,37.4298754782,2.03,1.532
2017-09-13,54.936778004,37.4376775168,4.76,1.402
2017-09-13,54.9367817531,37.4454795573,1.61,-0.029
2017-09-13,54.9412437986,37.3986560549,1.49,-0.29
2017-09-13,54.9412500521,37.4064589526,3.23,1.726
2017-09-13,54.941265808,37.4298676611,1.64,4.544
2017-09-13,54.9412700585,37.4376705694,2.13,1.906
2017-09-13,54.9412738081,37.4454734797,1.15,0.561
2017-09-13,55.1434211282,37.4687251309,1.4,-0.898
2017-09-13,55.143422888,37.4765674351,1.51,-0.134
2017-09-13,55.1434241431,37.4844097401,1.38,-0.531
2017-09-13,55.1479107666,37.4608784335,1.33,-1.559
2017-09-13,55.1479130312,37.4687216177,2.18,-0.274
2017-09-13,55.1479147912,37.4765648029,2.74,0.473
2017-09-13,55.1479160466,37.4844079889,1.07,-1.108
2017-09-13,55.1523998961,37.453029974,1.29,-0.639
2017-09-13,55.1524026658,37.4608740382,7.11,-0.538
2017-09-13,55.1524049308,37.4687181035,2.84,-0.028
2017-09-13,55.1524066911,37.47656217,1.91,-0.67
2017-09-13,55.1568945618,37.4608696415,2.32,0.932
2017-09-13,55.1568985877,37.4765595361,1.5,-0.844
2017-09-13,55.1613675531,37.4216361246,1.53,-0.008
2017-09-13,55.1613723432,37.4294819445,1.35,-0.422
2017-09-13,55.1658594392,37.4216273159,3.18,0.08
2017-09-13,55.16586423,37.4294740177,3.91,0.815
2017-09-13,55.1703460257,37.4137709232,1.23,0.629
2017-09-13,55.170356114,37.4294660887,2.04,-0.526
2017-09-13,55.2781797795,37.515832798,1.28,2.427
2017-09-13,55.3141148852,37.5079711571,1.4,1.289
2017-09-13,55.3141141174,37.515847112,1.08,0.891
2017-09-13,55.3186058948,37.5158489036,1.57,1.154
2017-09-13,55.3545407639,37.5079792766,1.09,1.865
2017-09-13,55.354539995,37.5158632537,1.53,2.158
2017-09-13,55.3590325114,37.50798018,1.16,1.586
2017-09-13,55.3590317425,37.5158650498,3.85,2.086
2017-09-13,55.3635242562,37.5079810836,1.39,1.081
2017-09-13,55.3769956336,37.5316491227,1.11,0.052
2017-09-13,55.3769933375,37.5395375647,1.98,0.244
2017-09-13,55.3790480433,36.7269792334,2.0,-0.093
2017-09-13,55.3835393636,36.7268916363,1.73,0.319
2017-09-13,55.3835889869,36.7347806743,3.05,1.96
2017-09-13,55.388080312,36.7346939465,1.79,1.766
2017-09-13,55.4084395036,37.4764108628,1.29,2.33
2017-09-13,55.4084407712,37.4843055673,2.75,2.968
2017-09-13,55.4084292531,37.5553583535,1.93,2.228
2017-09-13,55.4125260711,37.1842736246,1.79,1.27
2017-09-13,55.4125461932,37.1921690298,1.13,0.77
2017-09-13,55.4129324793,37.4843037868,3.95,5.026
2017-09-13,55.4129332375,37.4921993875,4.37,3.827
2017-09-13,55.4129334861,37.5000952202,1.36,-0.063
2017-09-13,55.4129270865,37.5395734411,2.42,0.4
2017-09-13,55.417424184,37.4843020058,2.35,0.204
2017-09-13,55.4174249424,37.4921985023,2.66,0.4
2017-09-13,55.417425191,37.5000952309,2.84,0.061
2017-09-13,55.4174241595,37.5158884443,1.27,-0.175
2017-09-13,55.4174228792,37.5237849403,1.25,0.837
