date,place,address,long,lat,evak1,evak2,link
2017-12-30,ТЦ Капитолий,"Сходненская, д. 56 ",55.8503373,37.4407819,да,700,http://www.mskagency.ru/materials/2740640
2017-12-20,ГЗ МГУ,"Ленинские горы, 1",55.6960822,37.5348973,да,нет информации,http://tass.ru/proisshestviya/4829331
2017-12-20,Журфак МГУ,"Моховая, дом 9, строение 1",55.754334,37.6083442,НЕТ ,ВБРОС СМИ?,http://www.mskagency.ru/materials/2736619
2017-12-20,Государственная дума,"Охотный Ряд, дом 1",55.757968,37.613127,да,нет информации,http://tass.ru/proisshestviya/4828567
2017-12-20,Приемная Государственной думы,улица Моховая дом 7,55.7527742,37.6086658,да,нет информации,http://tass.ru/proisshestviya/4828567
2017-12-20,ТЦ Охотный ряд,"Манежная площадь, д.1, стр.2",55.7554867,37.6122023,нет,,http://www.interfax.ru/moscow/592700
2017-12-20,Научная библиотека мгу,"Ломоносовский проспект, д. 27",55.7005974,37.5182603,да,100,https://ria.ru/incidents/20171220/1511355657.html
2017-12-13,ТЦ Водный,"Головинское шоссе, д.5",55.8402076,37.4894479,да,нет информации,https://www.m24.ru/news/proisshestviya/13122017/19449
2017-12-13,"ТЦ ""Круг""","Старокачаловская ул. , д. 5А",55.5700228,37.5787488,да,80,https://www.m24.ru/news/proisshestviya/13122017/19449
2017-08-12,Приемная ГОСДУМЫ,"Моховая, дом 7",55.7527742,37.6086658,да,500,https://www.m24.ru/news/proishsetsviya/08122017/19023
2017-05-12,БЦ Алгоритм,"ул. Академика Пилюгина, д. 22",55.669628,37.5295902,да,1200,http://www.mskagency.ru/materials/2730613
2017-04-12,ЦДМ на Лубянке,"Театральный проезд, дом 5, строение 1",55.7601597,37.6224232,да,600,"http://www.mskagency.ru/materials/2730212
http://www.mskagency.ru/materials/2730218"
2017-04-12,ФСБ России,"ул. Большая Лубянка, дом 21, корпус 1/1",55.7659879,37.6286499,??,нет информации,https://www.rbc.ru/rbcfreenews/5a253f839a794769632b7733
2017-11-30,Кузьминский районный суд,"Зеленодольская ул., 8/13",55.71541,37.7864422,Н/И,нет информации,https://ria.ru/incidents/20171130/1509949491.html
2017-11-30,Измайловский районный суд,"Первомайская ул., д. 12",55.790915,37.7723092,Н/И,нет информации,https://ria.ru/incidents/20171130/1509949491.html
2017-11-30,Коптевский районный суд,"Зои Космодемьянской ул., д. 31, к.2",55.824847,37.5203862,Н/И,нет информации,https://ria.ru/incidents/20171130/1509949491.html
2017-11-30,Кунцевский районный суд,"Ярцевская ул., д.12",55.7368174,37.4090477,нет,,"https://ria.ru/incidents/20171130/1509949491.html
http://www.tvc.ru/news/show/id/128474"
2017-11-30,Останкинский районный суд,"1-ая Останкинская ул., д. 35",55.824465,37.6274584,да,нет информации,https://ria.ru/incidents/20171130/1509949491.html
